Date:  2014.11.21,,,,,,,,,,
GizmoNum:  M05,,,,,,,,,,
RecipeNum:  0001,,,,,,,,,,
ExperimentNum:  0001,,,,,,,,,,
Observations:,,,,,,,,,,
,,This,,,,,,,,
,,is,,,,,,,,
,,my,,,,,,,,
,,only  ,,,,,,,,
,,observation,,,,,,,,
,,about,,,,,,,,
,,this,,,,,,,,
,,experiment,,,,,,,,
,,yay!,,,,,,,,
Step  Number,Step  Description,Time(s),SP_Temp(C),SP_SetPoint(C),HS_Temp(C),TC_Effort(%),Alarm_State,Ard_Temp(C),Fan_Effort(%),Pump_Effort(%),Volume_Infused,Volume_Withdrawn,Volume_Units
1,Do  nothing  4s,6,23.95,23.5,25.48,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,13.67,0.0,UL,This  is  a  comment
1,Do  nothing  4s,8,23.96,23.5,25.46,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,93.35,0.0,UL,This  is  a  comment
Step  Number,Step  Description,Time(s),SP_Temp(C),SP_SetPoint(C),HS_Temp(C),TC_Effort(%),Alarm_State,Ard_Temp(C),Fan_Effort(%),Pump_Effort(%),Volume_Infused,Volume_Withdrawn,Volume_Units
2,Cool  10s,17,24.0,0.0,25.44,178.0,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,13.67,UL,This  is  a  comment
2,Cool  10s,20,24.02,0.0,25.44,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,94.69,UL,This  is  a  comment
2,Cool  10s,22,24.02,0.0,25.46,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,174.2,UL,This  is  a  comment
2,Cool  10s,25,23.96,0.0,25.54,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,27,23.81,0.0,25.67,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,30,23.57,0.0,25.87,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,33,23.32,0.0,26.04,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,35,23.06,0.0,26.23,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,38,22.78,0.0,26.39,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,40,22.51,0.0,26.58,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,43,22.24,0.0,26.8,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,46,21.97,0.0,27.0,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,48,21.71,0.0,27.17,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,51,21.46,0.0,27.37,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,53,21.22,0.0,27.55,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,56,20.96,0.0,27.72,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,58,20.72,0.0,27.9,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,61,20.48,0.0,28.07,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,63,20.26,0.0,28.25,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,66,20.03,0.0,28.4,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,68,19.81,0.0,28.55,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,71,19.61,0.0,28.69,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,73,19.4,0.0,28.84,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,76,19.21,0.0,28.98,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,78,19.0,0.0,29.1,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
2,Cool  10s,81,18.8,0.0,29.21,511.00000000000006,0.0.0.0.0.0.0.0,-,100.0,0.0,200.0,200.0,UL,This  is  a  comment
