Date:  2014.11.21,,,,,,,,,,
GizmoNum:  M05,,,,,,,,,,
RecipeNum:  0001,,,,,,,,,,
ExperimentNum:  0001,,,,,,,,,,
Observations:,,,,,,,,,,
,,Early  device  debugging,,,,,,,,
Step  Number,Step  Description,Time(s),SP_Temp(C),SP_SetPoint(C),HS_Temp(C),TC_Effort(%),Alarm_State,Ard_Temp(C),Fan_Effort(%),Pump_Effort(%),Volume_Infused,Volume_Withdrawn,Volume_Units
1,Do  nothing  4s,6,23.25,23.5,23.11,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,0.0,0.0,UL,Start
1,Do  nothing  4s,8,23.25,23.5,23.11,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,0.0,0.0,UL,Start
Step  Number,Step  Description,Time(s),SP_Temp(C),SP_SetPoint(C),HS_Temp(C),TC_Effort(%),Alarm_State,Ard_Temp(C),Fan_Effort(%),Pump_Effort(%),Volume_Infused,Volume_Withdrawn,Volume_Units
2,Test  Fluidics,17,23.25,23.5,23.12,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,15.18,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,20,23.25,23.5,23.12,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,98.38,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,22,23.25,23.5,23.12,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,180.2,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,25,23.24,23.5,23.12,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,260.4,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,27,23.24,23.5,23.13,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,343.2,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,30,23.24,23.5,23.13,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,426.7,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,33,23.24,23.5,23.14,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,509.7,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,35,23.24,23.5,23.15,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,591.3,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,38,23.24,23.5,23.16,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,672.6,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,40,23.24,23.5,23.19,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,752.4,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,43,23.24,23.5,23.2,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,833.8,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,46,23.23,23.5,23.2,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,915.2,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,48,23.23,23.5,23.19,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,997.1,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,51,23.24,23.5,23.18,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,1000.0,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,53,23.23,23.5,23.18,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,1000.0,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,56,23.23,23.5,23.18,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,1000.0,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,58,23.23,23.5,23.17,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,1000.0,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,61,23.23,23.5,23.17,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,1000.0,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,64,23.23,23.5,23.17,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,1000.0,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,66,23.23,23.5,23.16,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,1000.0,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,69,23.23,23.5,23.16,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,1000.0,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,71,23.23,23.5,23.17,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,1000.0,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,74,23.23,23.5,23.16,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,1000.0,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,77,23.23,23.5,23.16,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,1000.0,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,79,23.23,23.5,23.16,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,1000.0,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,82,23.23,23.5,23.16,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,1000.0,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,84,23.23,23.5,23.16,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,1000.0,0.0,UL,Test  fluidics  for  1min
2,Test  Fluidics,87,23.22,23.5,23.16,0.0,0.0.0.0.0.0.0.0,-,0.0,100.0,1000.0,0.0,UL,Test  fluidics  for  1min
