temp=
Time(s),SP_Temp(C),SP_SetPoint(C),HS_Temp(C),TC_Effort(%),Alarm_State,Ard_Temp(C),Fan_Effort(%),Pump_Effort(%),Volume_Infused,Volume_Withdrawn,Volume_Units
10,34.83,25.0,23.89,0.0, 00000000 ,-,0.0,0.0,0.0,0.0,UL
12,34.86,25.0,23.89,0.0, 00000000 ,-,0.0,0.0,0.0,0.0,UL
13,34.86,25.0,23.9,0.0, 00000000 ,-,0.0,0.0,0.0,0.0,UL
15,34.85,25.0,23.9,0.0, 00000000 ,-,0.0,0.0,0.0,0.0,UL
16,34.84,25.0,23.9,0.0, 00000000 ,-,0.0,0.0,0.0,0.0,UL
18,34.85,25.0,23.9,0.0, 00000000 ,-,0.0,0.0,0.0,0.0,UL
19,34.86,25.0,23.9,0.0, 00000000 ,-,0.0,0.0,0.0,0.0,UL
21,34.86,25.0,23.9,0.0, 00000000 ,-,0.0,0.0,0.0,0.0,UL
35,34.89,30.0,23.93,175.0, 00000000 ,-,49.8,49.8,13.64,0.0,UL
36,34.9,30.0,23.93,500.0, 00000000 ,-,49.8,49.8,67.59,0.0,UL
38,34.9,30.0,23.93,500.0, 00000000 ,-,49.8,49.8,115.4,0.0,UL
39,34.91,30.0,23.93,501.0, 00000000 ,-,49.8,49.8,164.9,0.0,UL
41,34.91,30.0,23.94,501.0, 00000000 ,-,49.8,49.8,212.8,0.0,UL
42,34.91,30.0,23.95,501.0, 00000000 ,-,49.8,49.8,260.7,0.0,UL
44,34.91,30.0,23.96,501.0, 00000000 ,-,49.8,49.8,310.2,0.0,UL
45,34.91,30.0,23.96,501.0, 00000000 ,-,49.8,49.8,358.2,0.0,UL
53,34.92,-10.51,23.96,511.00000000000006, 00000000 ,-,0.0,0.0,500.0,13.64,UL
55,34.93,-10.51,23.96,511.00000000000006, 00000000 ,-,0.0,0.0,500.0,61.48,UL
56,34.94,-10.51,23.96,511.00000000000006, 00000000 ,-,0.0,0.0,500.0,110.9,UL
58,34.95,-10.51,23.96,511.00000000000006, 00000000 ,-,0.0,0.0,500.0,158.8,UL
59,34.95,-10.51,23.97,511.00000000000006, 00000000 ,-,0.0,0.0,500.0,206.6,UL
61,34.95,-10.51,23.97,511.00000000000006, 00000000 ,-,0.0,0.0,500.0,259.1,UL
63,34.95,-10.51,23.97,511.00000000000006, 00000000 ,-,0.0,0.0,500.0,307.1,UL
64,34.93,-10.51,23.97,511.00000000000006, 00000000 ,-,0.0,0.0,500.0,380.4,UL
73,34.92,-10.51,23.97,511.00000000000006, 00000000 ,-,0.0,0.0,500.0,513.6,UL
74,34.92,-10.51,23.97,511.00000000000006, 00000000 ,-,0.0,0.0,500.0,561.5,UL
76,34.93,-10.51,23.97,511.00000000000006, 00000000 ,-,0.0,0.0,500.0,609.2,UL
77,34.93,-10.51,23.97,511.00000000000006, 00000000 ,-,0.0,0.0,500.0,657.1,UL
79,34.95,-10.51,23.97,511.00000000000006, 00000000 ,-,0.0,0.0,500.0,704.9,UL
80,34.95,-10.51,23.97,511.00000000000006, 00000000 ,-,0.0,0.0,500.0,752.7,UL
82,34.96,-10.51,23.97,511.00000000000006, 00000000 ,-,0.0,0.0,500.0,800.6,UL
83,34.97,-10.51,23.97,511.00000000000006, 00000000 ,-,0.0,0.0,500.0,848.7,UL
91,34.9,25.0,23.96,0.0, 00000000 ,-,0.0,0.0,500.0,1000.0,UL
92,34.88,25.0,23.96,0.0, 00000000 ,-,0.0,0.0,500.0,1000.0,UL
94,34.87,25.0,23.96,0.0, 00000000 ,-,0.0,0.0,500.0,1000.0,UL
95,34.88,25.0,23.96,0.0, 00000000 ,-,0.0,0.0,500.0,1000.0,UL
97,34.9,25.0,23.96,0.0, 00000000 ,-,0.0,0.0,500.0,1000.0,UL
98,34.9,25.0,23.96,0.0, 00000000 ,-,0.0,0.0,500.0,1000.0,UL
100,34.89,25.0,23.95,0.0, 00000000 ,-,0.0,0.0,500.0,1000.0,UL
102,34.87,25.0,23.95,0.0, 00000000 ,-,0.0,0.0,500.0,1000.0,UL
