Debug log path: D:\GitHub\workspace\A4_FreezeRay\debugLog.csv
Data log path: D:\GitHub\workspace\A4_FreezeRay\dataLog.csv
Recipe path: D:\GitHub\workspace\A4_FreezeRay\recipe.txt
arduinoSerial:: Sent_Cmd: Q || Received: Q_0:0:-30000
arduinoSerial:: Sent_Cmd: F || Received: F_255
arduinoSerial:: Sent_Cmd: Q || Received: Q_255:0:-30000
arduinoSerial:: Sent_Cmd: P || Received: P_255
arduinoSerial:: Sent_Cmd: Q || Received: Q_255:255:-30000
arduinoSerial:: Sent_Cmd: F || Received: No reply!
arduinoSerial:: Sent_Cmd: F || Received: No reply!
arduinoSerial:: Sent_Cmd: F || Received: No reply!
arduinoSerial:: Sent_Cmd: F || Received: No reply!
arduinoSerial:: Sent_Cmd: F || Received: F_128
arduinoSerial:: Sent_Cmd: Q || Received: Q_128:255:-30000
arduinoSerial:: Sent_Cmd: P || Received: No reply!
arduinoSerial:: Sent_Cmd: P || Received: P_128
arduinoSerial:: Sent_Cmd: Q || Received: Q_128:128:-30000
arduinoSerial:: Sent_Cmd: F || Received: F_0
arduinoSerial:: Sent_Cmd: Q || Received: Q_0:128:-30000
arduinoSerial:: Sent_Cmd: P || Received: P_0
arduinoSerial:: Sent_Cmd: Q || Received: Q_0:0:-30000
