NE-500 Syringe pump communication established!
spSerial:: Sent_Cmd: *RESET ||  Received:00S
spSerial:: Sent_Cmd: DIA7.0 ||  Received:00S
TC-36-25_RS232 Temperature controller communication established!
Arduino communication established!{{
Estimated pre-scale: 3.24{{
Final pre-scale: 3{{

Debug log path: D:\GitHub\workspace\A4_FreezeRay\debugLog.csv
Data log path: D:\GitHub\workspace\A4_FreezeRay\dataLog.csv
Recipe path: D:\GitHub\workspace\A4_FreezeRay\recipe.csv
arduinoSerial:: Sent_Cmd: P || Received: P_0
arduinoSerial:: Sent_Cmd: F || Received: F_0
tcSerial:: Sent_Cmd: 001c000009c4 ||  Received:000009c4c0
tcSerial:: Sent_Cmd: 002d00000000 ||  Received:0000000080
tcSerial:: Sent_Cmd: 000100000000 ||  Received:00000d9bef
tcSerial:: Sent_Cmd: 000300000000 ||  Received:000009c4c0
tcSerial:: Sent_Cmd: 000600000000 ||  Received:0000095593
tcSerial:: Sent_Cmd: 000400000000 ||  Received:0000000080
tcSerial:: Sent_Cmd: 000500000000 ||  Received:0000000080
arduinoSerial:: Sent_Cmd: Q || Received: Q_0:0:-30000
spSerial:: Sent_Cmd: DIS ||  Received:00SI0.000W0.000UL
tcSerial:: Sent_Cmd: 000100000000 ||  Received:00000d9ef2
tcSerial:: Sent_Cmd: 000300000000 ||  Received:000009c4c0
tcSerial:: Sent_Cmd: 000600000000 ||  Received:0000095593
tcSerial:: Sent_Cmd: 000400000000 ||  Received:0000000080
tcSerial:: Sent_Cmd: 000500000000 ||  Received:0000000080
arduinoSerial:: Sent_Cmd: Q || Received: Q_0:0:-30000
spSerial:: Sent_Cmd: DIS ||  Received:00SI0.000W0.000UL
tcSerial:: Sent_Cmd: 000100000000 ||  Received:00000d9ef2
tcSerial:: Sent_Cmd: 000300000000 ||  Received:000009c4c0
tcSerial:: Sent_Cmd: 000600000000 ||  Received:0000095694
tcSerial:: Sent_Cmd: 000400000000 ||  Received:0000000080
tcSerial:: Sent_Cmd: 000500000000 ||  Received:0000000080
arduinoSerial:: Sent_Cmd: Q || Received: Q_0:0:-30000
spSerial:: Sent_Cmd: DIS ||  Received:00SI0.000W0.000UL
tcSerial:: Sent_Cmd: 000100000000 ||  Received:00000d9df1
tcSerial:: Sent_Cmd: 000300000000 ||  Received:000009c4c0
tcSerial:: Sent_Cmd: 000600000000 ||  Received:0000095694
tcSerial:: Sent_Cmd: 000400000000 ||  Received:0000000080
tcSerial:: Sent_Cmd: 000500000000 ||  Received:0000000080
arduinoSerial:: Sent_Cmd: Q || Received: Q_0:0:-30000
spSerial:: Sent_Cmd: DIS ||  Received:00SI0.000W0.000UL
tcSerial:: Sent_Cmd: 000100000000 ||  Received:00000d9cf0
tcSerial:: Sent_Cmd: 000300000000 ||  Received:000009c4c0
tcSerial:: Sent_Cmd: 000600000000 ||  Received:0000095694
tcSerial:: Sent_Cmd: 000400000000 ||  Received:0000000080
tcSerial:: Sent_Cmd: 000500000000 ||  Received:0000000080
arduinoSerial:: Sent_Cmd: Q || Received: Q_0:0:-30000
spSerial:: Sent_Cmd: DIS ||  Received:00SI0.000W0.000UL
tcSerial:: Sent_Cmd: 000100000000 ||  Received:00000d9df1
tcSerial:: Sent_Cmd: 000300000000 ||  Received:000009c4c0
tcSerial:: Sent_Cmd: 000600000000 ||  Received:0000095694
tcSerial:: Sent_Cmd: 000400000000 ||  Received:0000000080
tcSerial:: Sent_Cmd: 000500000000 ||  Received:0000000080
arduinoSerial:: Sent_Cmd: Q || Received: Q_0:0:-30000
spSerial:: Sent_Cmd: DIS ||  Received:00SI0.000W0.000UL
tcSerial:: Sent_Cmd: 000100000000 ||  Received:00000d9ef2
tcSerial:: Sent_Cmd: 000300000000 ||  Received:000009c4c0
tcSerial:: Sent_Cmd: 000600000000 ||  Received:0000095694
tcSerial:: Sent_Cmd: 000400000000 ||  Received:0000000080
tcSerial:: Sent_Cmd: 000500000000 ||  Received:0000000080
arduinoSerial:: Sent_Cmd: Q || Received: Q_0:0:-30000
spSerial:: Sent_Cmd: DIS ||  Received:00SI0.000W0.000UL
tcSerial:: Sent_Cmd: 000100000000 ||  Received:00000d9ef2
tcSerial:: Sent_Cmd: 000300000000 ||  Received:000009c4c0
tcSerial:: Sent_Cmd: 000600000000 ||  Received:0000095694
tcSerial:: Sent_Cmd: 000400000000 ||  Received:0000000080
tcSerial:: Sent_Cmd: 000500000000 ||  Received:0000000080
arduinoSerial:: Sent_Cmd: Q || Received: Q_0:0:-30000
spSerial:: Sent_Cmd: DIS ||  Received:00SI0.000W0.000UL
arduinoSerial:: Sent_Cmd: P No reply!
arduinoSerial:: Sent_Cmd: P No reply!
arduinoSerial:: Sent_Cmd: P || Received: P_127
arduinoSerial:: Sent_Cmd: F || Received: F_127
tcSerial:: Sent_Cmd: 001c00000bb8 ||  Received:No reply!
tcSerial:: Sent_Cmd: 001c00000bb8 ||  Received:00000bb8ec
tcSerial:: Sent_Cmd: 002d00000064 ||  Received:000000648a
spSerial:: Sent_Cmd: DIR INF ||  Received:00S
spSerial:: Sent_Cmd: RAT 1900 UM ||  Received:00S
spSerial:: Sent_Cmd: VOL 500 ||  Received:00S
spSerial:: Sent_Cmd: RUN ||  Received:00I
tcSerial:: Sent_Cmd: 000100000000 ||  Received:00000da1e6
tcSerial:: Sent_Cmd: 000300000000 ||  Received:00000bb8ec
tcSerial:: Sent_Cmd: 000600000000 ||  Received:0000095997
tcSerial:: Sent_Cmd: 000400000000 ||  Received:000000afe7
tcSerial:: Sent_Cmd: 000500000000 ||  Received:0000000080
arduinoSerial:: Sent_Cmd: Q || Received: Q_127:127:-30000
spSerial:: Sent_Cmd: DIS ||  Received:00II13.64W0.000UL
tcSerial:: Sent_Cmd: 000100000000 ||  Received:00000da2e7
tcSerial:: Sent_Cmd: 000300000000 ||  Received:No reply!
